"film","imdb_url",rating,timestamp,"backdated","directors",release_year,running_time
"Jonestown: The Life and Death of Peoples Temple","http://www.imdb.com/title/tt0762111/",3,1431060214,"No","Stanley Nelson",2006,86
"Adult Beginners","http://www.imdb.com/title/tt3318750/",3,1430965657,"No","Ross Katz",2015,90
"About Adam","http://www.imdb.com/title/tt0199314/",2,1430958732,"Yes","Gerard Stembridge",2000,105
"Showrunners","http://www.imdb.com/title/tt1942971/",3,1430888891,"No","Des Doyle",2014,76
"Ira & Abby","http://www.imdb.com/title/tt0480251/",3,1430881885,"No","Robert Cary",2006,104
"Fifty Shades of Grey","http://www.imdb.com/title/tt2322441/",3,1430795097,"No","Sam Taylor-Johnson",2015,125
"Atari: Game Over","http://www.imdb.com/title/tt3715406/",2,1429975365,"No","Zak Penn",2014,66
"A Beautiful Mind","http://www.imdb.com/title/tt0268978/",1,1220508057,"No","Ron Howard",2001,135
"A Christmas Story","http://www.imdb.com/title/tt0085334/",2,1220508057,"No","Bob Clark",1983,94
"A Civil Action","http://www.imdb.com/title/tt0120633/",3,1220508057,"No","Steven Zaillian",1998,115
"A Clockwork Orange","http://www.imdb.com/title/tt0066921/",5,1220508057,"No","Stanley Kubrick",1971,136
"A Few Good Men","http://www.imdb.com/title/tt0104257/",3,1220508057,"No","Rob Reiner",1992,138
"A Fish Called Wanda","http://www.imdb.com/title/tt0095159/",3,1220508057,"No","Charles Crichton",1988,108
"A Hard Day's Night","http://www.imdb.com/title/tt0058182/",2,1220508057,"No","Richard Lester",1964,87
"A History of Violence","http://www.imdb.com/title/tt0399146/",1,1220508057,"No","David Cronenberg",2005,96
"A League of Their Own","http://www.imdb.com/title/tt0104694/",3,1220508057,"No","Penny Marshall",1992,128
"A Mighty Heart","http://www.imdb.com/title/tt0829459/",3,1220508057,"No","Michael Winterbottom",2007,108
"A Mighty Wind","http://www.imdb.com/title/tt0310281/",3,1220508057,"No","Christopher Guest",2003,91
"A Night at the Roxbury","http://www.imdb.com/title/tt0120770/",2,1220508057,"No","John Fortenberry",1998,82
"A Nightmare on Elm Street","http://www.imdb.com/title/tt0087800/",2,1220508057,"No","Wes Craven",1984,91
"A nous la liberte","http://www.imdb.com/title/tt0022599/",3,1220508057,"No","Rene Clair",1931,104
"A Streetcar Named Desire","http://www.imdb.com/title/tt0044081/",3,1220508057,"No","Elia Kazan",1951,122
"A Very Brady Sequel","http://www.imdb.com/title/tt0118073/",2,1220508057,"No","Arlene Sanford",1996,90
"A Very Long Engagement","http://www.imdb.com/title/tt0344510/",3,1220508057,"No","Jean-Pierre Jeunet",2004,133
"About a Boy","http://www.imdb.com/title/tt0276751/",3,1220508057,"No","Chris Weitz, Pail Weitz",2002,101
"About Schmidt","http://www.imdb.com/title/tt0257360/",3,1220508057,"No","Alexander Payne",2002,125
"Absence of Malice","http://www.imdb.com/title/tt0081974/",3,1220508057,"No","Sydney Pollack",1981,116
"Ace Ventura: Pet Detective","http://www.imdb.com/title/tt0109040/",4,1220508057,"No","Tom Shadyac",1994,86
"Ace Ventura: When Nature Calls","http://www.imdb.com/title/tt0112281/",1,1220508057,"No","Steve Oedekerk",1995,90
"Adam's Rib","http://www.imdb.com/title/tt0041090/",1,1220508057,"No","George Cukor",1949,101
"Adaptation","http://www.imdb.com/title/tt0268126/",3,1220508057,"No","Spike Jonze",2002,114
"Addams Family Values","http://www.imdb.com/title/tt0106220/",3,1220508057,"No","Barry Sonnenfeld",1993,94
"Addicted To Love","http://www.imdb.com/title/tt0118556/",1,1220508057,"No","Griffin Dunne",1997,100
"Adventures in Babysitting","http://www.imdb.com/title/tt0092513/",3,1220508057,"No","Chris Columbus",1987,102
"Aguirre: The Wrath of God","http://www.imdb.com/title/tt0068182/",3,1220508057,"No","Werner Herzog",1972,93
"Air Force One","http://www.imdb.com/title/tt0118571/",2,1220508057,"No","Wolfgang Petersen",1997,124
"Airheads","http://www.imdb.com/title/tt0109068/",2,1220508057,"No","Michael Lehmann",1994,92
"Akira Kurosawa's Dreams","http://www.imdb.com/title/tt0100998/",3,1220508057,"No","Akira Kurosawa",1990,119
"Aladdin","http://www.imdb.com/title/tt0103639/",4,1220508057,"No","Ron Clements, John Musker",1992,90
"Alexander","http://www.imdb.com/title/tt0346491/",2,1220508057,"No","Oliver Stone",2004,175
"Ali","http://www.imdb.com/title/tt0248667/",4,1220508057,"No","Michael Mann",2001,157
"Ali G Indahouse","http://www.imdb.com/title/tt0284837/",1,1220508057,"No","Mark Mylod",2002,88
"Ali: Fear Eats the Soul","http://www.imdb.com/title/tt0071141/",5,1234429833,"Yes","Rainer Werner Fassbinder",1974,93
"Alice Doesn't Live Here Anymore","http://www.imdb.com/title/tt0071115/",3,1220508057,"No","Martin Scorsese",1974,112
"Alice's Restaurant","http://www.imdb.com/title/tt0064002/",2,1220508057,"No","Arthur Penn",1969,111
"Alien","http://www.imdb.com/title/tt0078748/",4,1220508057,"No","Ridley Scott",1979,117
"Alive","http://www.imdb.com/title/tt0106246/",3,1220508057,"No","Frank Marshall",1993,127
"All About Eve","http://www.imdb.com/title/tt0042192/",4,1220508057,"No","Joseph L. Mankiewicz",1950,138
"All Dogs Go To Heaven","http://www.imdb.com/title/tt0096787/",2,1220508057,"No","Don Bluth, Gary Goldman, Dan Kuenster",1989,89
"All Quiet on the Western Front","http://www.imdb.com/title/tt0020629/",3,1220508057,"No","Lewis Milestone",1930,145
"All the King's Men","http://www.imdb.com/title/tt0405676/",1,1220508057,"No","Steven Zaillian",2006,128
"All the President's Men","http://www.imdb.com/title/tt0074119/",2,1220508057,"No","Alan J. Pakula",1976,138
"All the Pretty Horses","http://www.imdb.com/title/tt0149624/",3,1220508057,"No","Billy Bob Thornton",2000,116
"Almost Famous","http://www.imdb.com/title/tt0181875/",5,1220508057,"No","Cameron Crowe",2000,122
"Along Came Polly","http://www.imdb.com/title/tt0343135/",2,1220508057,"No","John Hamburg",2004,90
"Amadeus","http://www.imdb.com/title/tt0086879/",4,1220508057,"No","Milos Forman",1984,160
"American Pie","http://www.imdb.com/title/tt0163651/",3,1225785541,"No","Paul Weitz",1999,95
"American Movie: The Making of Northwestern","http://www.imdb.com/title/tt0181288/",4,1220508057,"No","Chris Smith",1999,107
"American History X","http://www.imdb.com/title/tt0120586/",5,1220508057,"No","Tony Kaye",1998,119
"American Graffiti","http://www.imdb.com/title/tt0069704/",4,1220508057,"No","George Lucas",1973,110
"American Gangster","http://www.imdb.com/title/tt0765429/",2,1220508057,"No","Ridley Scott",2007,157
"American Beauty","http://www.imdb.com/title/tt0169547/",5,1220508057,"No","Sam Mendes",1999,122
"America's Sweethearts","http://www.imdb.com/title/tt0265029/",3,1220508057,"No","Joe Roth",2001,102
"An American in Paris","http://www.imdb.com/title/tt0043278/",2,1220508057,"No","Vincente Minnelli",1951,113
"An American Werewolf in Paris","http://www.imdb.com/title/tt0118604/",1,1220508057,"No","Anthony Waller",1997,105
